rt,muziek,gender,geboortejaar,woonplaats,godsdienst,moedertaal,diploma_vader,diploma_moeder,secundair,uren_wiskunde,uren_nederlands,vakken_hernemen,studie_efficientie,inschrijving_ozt,traject,keuze_2ti,leerstoornis,beweging_ud,sport_uw,boeken_m,alcohol_w,frq_cannabis,uur_slaap,slaapkwaliteit,slaappatroon,wakker_worden,score_1,uren_slaap_1,interessant_1,uitgerust_1,gestresseerd_1,onthouden_1,score_2,uren_slaap_2,interessant_2,uitgerust_2,gestresseerd_2,onthouden_2
Ja ,Ja,Man,1997,Stad,agnost,Nederlands,Bachelor of equivalent,Bachelor of equivalent,ASO,7,5,Ja,50-74%,2,aangepast,Programmeren,Niet benoemde leerstoornis;,2,0,0,1,Nooit,6,"Noch slecht, noch goed",Onregelmatig,Zelden,14,6,"Noch eens, noch oneens",Oneens,"Noch eens, noch oneens",Eens,10,6,Oneens,Eens,"Noch eens, noch oneens","Noch eens, noch oneens"
Nee,Nee,Man,1995,Stad,christen,Nederlands,Bachelor of equivalent,Bachelor of equivalent,ASO,8,5,Nee,75-100%,1,aangepast,Programmeren,Autisme;,1,0,1,10,Nooit,8,"Noch slecht, noch goed",Zeer onregelmatig,Elke nacht,13,7,Eens,Helemaal oneens,Eens,"Noch eens, noch oneens",10,8,Eens,Eens,Oneens,"Noch eens, noch oneens"
Ja ,Nee,Man,1997,Stad,agnost,Nederlands,Master of equivalent universiteit,Hoger secundair,TSO,5,3,Ja,50-74%,3,aangepast,Programmeren,,2,0,0,4,Nooit,7,Goed,Regelmatig,Zelden,6,3,Eens,Oneens,Oneens,Eens,4,7,"Noch eens, noch oneens","Noch eens, noch oneens","Noch eens, noch oneens","Noch eens, noch oneens"
Nee,Nee,Man,1996,Platteland,agnost,Anders,Master of equivalent universiteit,Lager secundair,ASO,5,4,Nee,75-100%,1,aangepast,Programmeren,,3,0,0,0,,6,Slecht,Onregelmatig,Nooit,11,5,Eens,Eens,Helemaal oneens,Helemaal eens,10,5,Helemaal eens,"Noch eens, noch oneens","Noch eens, noch oneens",Eens
Nee,Ja,Man,1996,Platteland,christen,Nederlands,Hoger secundair,Hoger secundair,ASO,6,4,Nee,75-100%,1,model,Programmeren,,1,0,0,5,Nooit,7.5,Goed,Onregelmatig,Nooit,14,5,Eens,Oneens,Oneens,Helemaal eens,13,7,Oneens,Eens,Helemaal oneens,Oneens
Ja ,Nee,Man,1995,Stad,christen,Nederlands,Lager secundair,Hoger secundair,TSO,4,4,Ja,50-74%,4,aangepast,Programmeren,AD(H)D;,1,2,2,0,Nooit,8,Goed,Regelmatig,Zelden,8,8,Eens,Oneens,Oneens,"Noch eens, noch oneens",6,8,"Noch eens, noch oneens","Noch eens, noch oneens","Noch eens, noch oneens","Noch eens, noch oneens"
Nee,Ja,Man,1997,Stad,atheïst,Nederlands,Master of equivalent universiteit,Master of equivalent universiteit,ASO,8,4,Nee,75-100%,1,model,Systeembeheer,,2,1.5,0.1,9,Nooit,7,Zeer goed,Zeer onregelmatig,Zelden,15,7,Eens,Eens,"Noch eens, noch oneens",Helemaal eens,8,9,Eens,Oneens,Eens,Eens
Ja ,Nee,Man,1997,Stad,atheïst,Nederlands,Master of equivalent universiteit,Master of equivalent universiteit,ASO,6,4,Ja,75-100%,1,aangepast,Programmeren,,1,3,1,8,Maandelijks,8,Goed,Onregelmatig,Zelden,14,8,Eens,Eens,Oneens,Helemaal eens,7,5.5,Eens,"Noch eens, noch oneens",Oneens,Helemaal eens
Nee,Ja,Man,1999,Stad,atheïst,Nederlands,Bachelor of equivalent,Bachelor of equivalent,ASO,7,4,Ja,50-74%,1,model,Programmeren,,2,5,0,0,Nooit,6,"Noch slecht, noch goed",Regelmatig,Af en toe,17,6,Helemaal eens,Eens,Oneens,Eens,9,7,"Noch eens, noch oneens","Noch eens, noch oneens","Noch eens, noch oneens","Noch eens, noch oneens"
Ja ,Ja,Man,1998,Stad,atheïst,Nederlands,Bachelor of equivalent,Hoger secundair,ASO,4,5,Ja,50-74%,1,aangepast,Systeembeheer,Tinitus (oorsuizingen);,2,0,0,4,Nooit,5,"Noch slecht, noch goed",Zeer onregelmatig,Meestal,15,7,"Noch eens, noch oneens","Noch eens, noch oneens","Noch eens, noch oneens","Noch eens, noch oneens",5,4,Eens,"Noch eens, noch oneens",Oneens,Oneens
Ja ,Ja,Man,1999,Platteland,agnost,Nederlands,Master of equivalent universiteit,Weet niet,ASO,6,4,Nee,75-100%,1,model,Programmeren,,0.5,1,0.5,7,Zelden,8,Goed,Onregelmatig,Zelden,13,7.5,Eens,Eens,Oneens,"Noch eens, noch oneens",15,7,Eens,Eens,Oneens,"Noch eens, noch oneens"
Nee,Nee,Man,1998,Stad,atheïst,Nederlands,Master of equivalent universiteit,Master of equivalent universiteit,ASO,6,3,Nee,75-100%,1,model,Systeembeheer,,1,0,0,40,Nooit,4,"Noch slecht, noch goed",Zeer onregelmatig,Zelden,,,,,,,15,6,Eens,"Noch eens, noch oneens",Oneens,Eens
Ja ,Ja,Man,1998,Platteland,christen,Nederlands,Hoger secundair,Hoger secundair,ASO,5,4,Ja,75-100%,1,aangepast,Programmeren,,2,0,0,20,Zelden,6,"Noch slecht, noch goed",Onregelmatig,Zelden,18,5,Eens,"Noch eens, noch oneens",Oneens,Eens,15,6,Eens,"Noch eens, noch oneens",Oneens,Eens
Ja ,Nee,Man,1999,Platteland,christen,Nederlands,Hoger secundair,Bachelor of equivalent,ASO,6,4,Nee,50-74%,1,model,Programmeren,,5,0,1,2,Nooit,6,"Noch slecht, noch goed",Onregelmatig,Nooit,15,5,Eens,Oneens,Oneens,Helemaal eens,16,4,Helemaal eens,Helemaal oneens,Helemaal oneens,"Noch eens, noch oneens"
Nee,Ja,Man,1996,Platteland,atheïst,Nederlands,Bachelor of equivalent,Bachelor of equivalent,TSO,16,2,Ja,50-74%,2,aangepast,Programmeren,,3,5,0,1,Enkele keren per maand,8,"Noch slecht, noch goed","Noch onregelmatig, noch regelmatig",Af en toe,,,,,,,10,7,"Noch eens, noch oneens",Eens,"Noch eens, noch oneens",Eens
Nee,Nee,Man,1994,Stad,agnost,Nederlands,Master of equivalent universiteit,Bachelor of equivalent,ASO,8,5,Nee,75-100%,1,aangepast,Programmeren,Paniekaanvallen;,1,1,1,7,Zelden,7,"Noch slecht, noch goed",Onregelmatig,Af en toe,11,7,Oneens,"Noch eens, noch oneens","Noch eens, noch oneens",Helemaal eens,14,3,Eens,Helemaal oneens,"Noch eens, noch oneens",Helemaal eens
Ja ,Ja,Man,1998,Platteland,christen,Nederlands,Lagere school,Bachelor of equivalent,TSO,8,3,Nee,75-100%,1,model,Programmeren,,2,3,2,15,Nooit,7,Goed,Regelmatig,Nooit,7,7,Eens,Eens,Helemaal oneens,"Noch eens, noch oneens",6,8,"Noch eens, noch oneens","Noch eens, noch oneens","Noch eens, noch oneens","Noch eens, noch oneens"
Ja ,Nee,Man,1997,Stad,atheïst,Nederlands,Master of equivalent buiten universiteit,Bachelor of equivalent,TSO,5,2,Ja,50-74%,1,aangepast,Programmeren,AD(H)D;,4,0,1,3,Zelden,6,Goed,Onregelmatig,Zelden,5,6,"Noch eens, noch oneens","Noch eens, noch oneens",Helemaal eens,"Noch eens, noch oneens",,,,,,
