therm.unions,therm.dems,year
97,97,1980
85,60,1980
NA,85,1980
NA,70,1980
NA,60,1980
60,85,1980
40,40,1980
50,60,1980
30,60,1980
60,60,1980
50,0,1980
60,70,1980
85,70,1980
60,50,1980
60,60,1980
40,50,1980
50,70,1980
55,50,1980
NA,60,1980
50,15,1980
97,NA,1980
NA,50,1980
40,60,1980
97,97,1980
70,50,1980
15,60,1980
85,70,1980
NA,50,1980
60,70,1980
0,50,1980
50,70,1980
0,40,1980
97,97,1980
30,50,1980
30,70,1980
50,70,1980
NA,50,1980
NA,NA,1980
0,60,1980
20,20,1980
0,50,1980
60,70,1980
70,97,1980
40,40,1980
40,40,1980
85,60,1980
15,50,1980
0,50,1980
50,60,1980
50,60,1980
70,70,1980
50,40,1980
60,60,1980
50,97,1980
85,70,1980
50,50,1980
85,85,1980
0,30,1980
30,40,1980
NA,85,1980
40,70,1980
40,60,1980
60,70,1980
70,60,1980
50,50,1980
50,60,1980
50,60,1980
50,85,1980
75,75,1980
40,40,1980
30,15,1980
70,85,1980
60,70,1980
70,50,1980
NA,50,1980
40,65,1980
70,70,1980
40,70,1980
40,85,1980
50,40,1980
40,30,1980
50,97,1980
60,97,1980
40,NA,1980
70,50,1980
NA,97,1980
70,10,1980
50,40,1980
40,50,1980
70,60,1980
15,30,1980
50,50,1980
0,60,1980
40,75,1980
30,60,1980
0,85,1980
70,85,1980
70,40,1980
70,15,1980
50,NA,1980
60,70,1980
40,70,1980
70,70,1980
70,50,1980
30,60,1980
60,NA,1980
40,40,1980
80,90,1980
85,97,1980
60,85,1980
40,40,1980
60,60,1980
85,85,1980
50,50,1980
30,50,1980
60,85,1980
NA,15,1980
30,0,1980
50,60,1980
60,50,1980
40,30,1980
30,50,1980
30,0,1980
70,NA,1980
65,97,1980
50,NA,1980
50,60,1980
50,80,1980
40,70,1980
85,85,1980
70,50,1980
50,60,1980
60,50,1980
60,80,1980
40,55,1980
60,50,1980
50,30,1980
30,15,1980
70,60,1980
15,0,1980
40,70,1980
70,95,1980
40,70,1980
80,97,1980
85,97,1980
70,70,1980
50,NA,1980
70,70,1980
70,70,1980
50,50,1980
70,70,1980
85,97,1980
15,0,1980
30,70,1980
0,70,1980
70,85,1980
60,50,1980
0,60,1980
85,70,1980
85,40,1980
0,15,1980
70,70,1980
50,75,1980
60,70,1980
60,70,1980
50,70,1980
30,50,1980
40,50,1980
50,NA,1980
NA,40,1980
50,85,1980
60,50,1980
97,60,1980
40,50,1980
70,85,1980
97,97,1980
50,60,1980
40,30,1980
0,85,1980
40,50,1980
60,97,1980
70,85,1980
50,50,1980
97,60,1980
60,60,1980
60,65,1980
50,40,1980
50,50,1980
85,NA,1980
30,85,1980
40,30,1980
70,60,1980
50,60,1980
40,50,1980
97,85,1980
15,50,1980
0,50,1980
50,85,1980
60,60,1980
85,70,1980
50,50,1980
80,70,1980
0,0,1980
40,30,1980
85,50,1980
60,40,1980
50,60,1980
97,NA,1980
40,80,1980
NA,60,1980
70,70,1980
40,60,1980
60,50,1980
60,97,1980
70,97,1980
0,70,1980
50,60,1980
97,85,1980
85,40,1980
85,50,1980
50,40,1980
70,60,1980
60,50,1980
85,70,1980
85,70,1980
75,97,1980
50,NA,1980
65,97,1980
40,40,1980
50,0,1980
60,30,1980
97,97,1980
30,60,1980
70,50,1980
15,40,1980
50,60,1980
70,85,1980
50,NA,1980
60,25,1980
50,60,1980
97,70,1980
40,50,1980
70,50,1980
70,40,1980
70,70,1980
NA,97,1980
40,70,1980
50,50,1980
60,60,1980
70,40,1980
0,70,1980
0,97,1980
85,97,1980
70,55,1980
30,60,1980
40,70,1980
30,40,1980
60,70,1980
50,0,1980
85,70,1980
85,97,1980
40,70,1980
60,60,1980
70,85,1980
NA,50,1980
97,70,1980
97,97,1980
30,50,1980
50,50,1980
50,60,1980
40,30,1980
40,85,1980
40,50,1980
55,70,1980
70,60,1980
30,70,1980
NA,50,1980
50,70,1980
NA,97,1980
70,85,1980
97,85,1980
70,50,1980
97,60,1980
70,97,1980
60,40,1980
97,70,1980
70,85,1980
60,60,1980
0,85,1980
70,85,1980
40,70,1980
70,60,1980
0,0,1980
60,40,1980
85,85,1980
40,30,1980
70,30,1980
97,97,1980
60,40,1980
60,30,1980
70,40,1980
0,15,1980
30,70,1980
70,70,1980
60,85,1980
NA,40,1980
60,50,1980
60,50,1980
85,70,1980
30,30,1980
30,NA,1980
40,60,1980
40,70,1980
60,NA,1980
40,40,1980
40,85,1980
60,60,1980
40,60,1980
60,97,1980
40,70,1980
85,97,1980
30,15,1980
60,50,1980
97,85,1980
25,NA,1980
40,60,1980
97,40,1980
60,60,1980
60,85,1980
50,60,1980
50,60,1980
40,70,1980
50,60,1980
75,60,1980
85,60,1980
50,60,1980
40,50,1980
15,NA,1980
30,50,1980
85,70,1980
97,85,1980
30,85,1980
30,60,1980
60,85,1980
40,50,1980
50,60,1980
30,15,1980
60,85,1980
30,40,1980
60,60,1980
70,30,1980
50,30,1980
70,97,1980
0,60,1980
70,60,1980
85,85,1980
70,NA,1980
30,50,1980
50,97,1980
25,30,1980
50,0,1980
60,50,1980
70,70,1980
60,97,1980
NA,NA,1980
15,60,1980
70,97,1980
50,70,1980
85,70,1980
NA,70,1980
NA,97,1980
60,60,1980
40,50,1980
0,15,1980
50,30,1980
60,15,1980
97,97,1980
40,60,1980
60,40,1980
40,60,1980
40,60,1980
60,70,1980
40,70,1980
70,50,1980
70,85,1980
60,85,1980
70,60,1980
50,50,1980
50,85,1980
NA,0,1980
70,60,1980
60,50,1980
85,70,1980
30,85,1980
70,70,1980
40,97,1980
60,97,1980
40,15,1980
60,85,1980
70,97,1980
60,40,1980
40,50,1980
60,40,1980
30,50,1980
15,60,1980
75,97,1980
15,40,1980
30,50,1980
40,70,1980
30,50,1980
85,70,1980
40,60,1980
40,50,1980
85,97,1980
60,97,1980
30,50,1980
70,50,1980
60,70,1980
0,0,1980
60,70,1980
50,NA,1980
30,60,1980
70,70,1980
80,85,1980
40,70,1980
70,30,1980
70,50,1980
60,70,1980
50,70,1980
85,97,1980
60,97,1980
30,70,1980
60,60,1980
60,30,1980
40,85,1980
60,30,1980
60,85,1980
80,55,1980
85,70,1980
15,NA,1980
30,70,1980
70,60,1980
50,50,1980
30,50,1980
40,70,1980
0,60,1980
70,60,1980
50,50,1980
60,85,1980
50,75,1980
70,60,1980
97,85,1980
NA,60,1980
51,0,1980
50,45,1980
70,70,1980
50,85,1980
70,15,1980
70,40,1980
40,60,1980
60,70,1980
85,50,1980
85,97,1980
97,70,1980
56,80,1980
30,40,1980
50,50,1980
30,60,1980
40,60,1980
40,60,1980
50,40,1980
70,70,1980
40,0,1980
15,15,1980
40,60,1980
50,50,1980
85,40,1980
85,97,1980
85,97,1980
60,40,1980
85,97,1980
85,15,1980
40,NA,1980
50,70,1980
70,60,1980
70,70,1980
30,50,1980
97,97,1980
40,60,1980
55,70,1980
70,85,1980
60,50,1980
50,85,1980
70,97,1980
85,60,1980
60,NA,1980
40,40,1980
50,70,1980
50,30,1980
85,50,1980
70,60,1980
60,70,1980
75,75,1980
0,0,1980
NA,70,1980
40,60,1980
50,30,1980
40,60,1980
0,30,1980
60,85,1980
70,70,1980
97,60,1980
70,30,1980
40,60,1980
NA,NA,1980
60,60,1980
70,75,1980
NA,75,1980
60,NA,1980
70,80,1980
60,60,1980
60,85,1980
97,50,1980
70,85,1980
50,70,1980
70,70,1980
60,60,1980
60,50,1980
85,70,1980
30,50,1980
50,97,1980
50,NA,1980
40,70,1980
85,50,1980
60,50,1980
70,50,1980
70,85,1980
50,60,1980
85,85,1980
70,70,1980
60,60,1980
50,85,1980
40,60,1980
85,97,1980
85,60,1980
NA,NA,1980
60,85,1980
60,85,1980
15,40,1980
0,30,1980
60,50,1980
50,70,1980
40,40,1980
60,70,1980
70,97,1980
50,70,1980
85,60,1980
50,97,1980
80,97,1980
85,85,1980
70,70,1980
50,60,1980
97,30,1980
40,60,1980
40,60,1980
40,40,1980
30,60,1980
NA,85,1980
85,50,1980
60,15,1980
60,60,1980
40,40,1980
15,40,1980
60,60,1980
15,0,1980
85,70,1980
97,97,1980
50,65,1980
60,60,1980
30,51,1980
40,40,1980
15,30,1980
85,60,1980
85,30,1980
97,75,1980
97,85,1980
60,60,1980
60,0,1980
50,70,1980
40,70,1980
55,30,1980
60,70,1980
85,85,1980
15,15,1980
70,40,1980
60,40,1980
0,40,1980
50,97,1980
70,30,1980
60,60,1980
0,0,1980
15,50,1980
50,70,1980
70,60,1980
40,40,1980
60,70,1980
0,40,1980
0,70,1980
40,50,1980
40,30,1980
97,70,1980
0,85,1980
80,50,1980
97,97,1980
60,70,1980
50,70,1980
50,97,1980
70,85,1980
30,70,1980
70,97,1980
60,70,1980
50,0,1980
50,NA,1980
50,97,1980
60,NA,1980
97,97,1980
70,85,1980
50,50,1980
50,40,1980
50,50,1980
0,0,1980
85,30,1980
70,60,1980
70,85,1980
48,39,1980
70,70,1980
70,NA,1980
40,40,1980
50,0,1980
70,0,1980
50,70,1980
85,97,1980
40,NA,1980
50,50,1980
40,55,1980
35,65,1980
NA,50,1980
15,0,1980
97,75,1980
85,50,1980
97,97,1980
70,50,1980
40,60,1980
40,50,1980
40,40,1980
40,50,1980
60,60,1980
30,60,1980
40,30,1980
30,85,1980
30,50,1980
50,40,1980
80,70,1980
85,97,1980
60,97,1980
60,70,1980
50,40,1980
70,30,1980
30,70,1980
85,70,1980
50,40,1980
40,50,1980
40,60,1980
30,40,1980
50,0,1980
70,60,1980
50,97,1980
NA,NA,1980
85,60,1980
50,70,1980
30,30,1980
0,70,1980
50,60,1980
50,60,1980
85,30,1980
0,40,1980
85,50,1980
60,85,1980
NA,NA,1980
0,0,1980
97,97,1980
30,40,1980
50,50,1980
NA,50,1980
70,40,1980
60,15,1980
70,97,1980
30,50,1980
15,50,1980
70,40,1980
97,40,1980
40,70,1980
50,60,1980
70,97,1980
60,60,1980
70,50,1980
15,30,1980
30,60,1980
60,51,1980
30,60,1980
30,50,1980
75,50,1980
50,15,1980
15,15,1980
15,40,1980
60,60,1980
60,85,1980
60,70,1980
NA,NA,1980
50,50,1980
70,97,1980
70,60,1980
60,70,1980
60,NA,1980
30,50,1980
85,97,1980
30,50,1980
70,85,1980
40,50,1980
50,97,1980
40,85,1980
60,40,1980
40,40,1980
85,97,1980
60,40,1980
40,NA,1980
50,30,1980
60,70,1980
60,60,1980
60,15,1980
70,40,1980
70,70,1980
97,95,1980
30,50,1980
30,50,1980
70,85,1980
NA,40,1980
50,NA,1980
60,50,1980
50,40,1980
50,70,1980
97,97,1980
60,70,1980
NA,NA,1980
60,50,1980
0,97,1980
40,70,1980
50,50,1980
40,60,1980
97,97,1980
40,40,1980
70,97,1980
55,55,1980
60,60,1980
70,60,1980
85,85,1980
0,60,1980
40,60,1980
70,70,1980
97,NA,1980
40,40,1980
60,60,1980
60,30,1980
60,85,1980
30,60,1980
97,85,1980
50,97,1980
70,85,1980
70,85,1980
50,50,1980
60,60,1980
70,50,1980
70,70,1980
50,75,1980
80,60,1980
80,85,1980
15,40,1980
40,60,1980
60,0,1980
85,60,1980
40,60,1980
30,30,1980
20,97,1980
97,97,1980
60,50,1980
85,85,1980
40,70,1980
30,55,1980
60,50,1980
60,70,1980
15,50,1980
50,60,1980
50,65,1980
85,50,1980
60,70,1980
50,60,1980
50,60,1980
85,95,1980
50,30,1980
60,97,1980
50,60,1980
50,60,1980
15,60,1980
50,85,1980
40,60,1980
85,85,1980
50,50,1980
60,97,1980
NA,NA,1980
50,55,1980
NA,60,1980
50,97,1980
70,85,1980
50,NA,1980
15,50,1980
85,50,1980
60,50,1980
97,97,1980
85,85,1980
85,85,1980
NA,NA,1980
60,50,1980
50,70,1980
NA,85,1980
60,85,1980
60,60,1980
60,70,1980
15,70,1980
70,70,1980
60,NA,1980
50,60,1980
70,60,1980
NA,50,1980
60,50,1980
60,50,1980
50,70,1980
15,85,1980
60,15,1980
85,60,1980
70,85,1980
97,85,1980
85,70,1980
70,70,1980
50,50,1980
70,60,1980
40,60,1980
40,60,1980
97,85,1980
0,15,1980
NA,70,1980
50,50,1980
70,70,1980
50,50,1980
NA,NA,1980
40,30,1980
70,65,1980
40,NA,1980
50,60,1980
NA,NA,1980
70,50,1980
15,70,1980
70,50,1980
10,50,1980
65,75,1980
60,60,1980
40,75,1980
60,40,1980
60,85,1980
70,70,1980
40,70,1980
60,5,1980
60,70,1980
40,50,1980
75,60,1980
70,97,1980
70,85,1980
60,50,1980
60,60,1980
50,97,1980
50,40,1980
85,97,1980
85,70,1980
40,0,1980
50,70,1980
40,65,1980
30,40,1980
40,NA,1980
40,15,1980
50,50,1980
40,60,1980
97,60,1980
60,30,1980
60,85,1980
60,60,1980
40,50,1980
50,70,1980
60,85,1980
50,50,1980
60,50,1980
0,60,1980
70,85,1980
50,50,1980
0,85,1980
50,50,1980
40,85,1980
40,40,1980
50,97,1980
70,85,1980
60,50,1980
50,NA,1980
60,40,1980
70,50,1980
30,50,1980
55,40,1980
40,60,1980
70,70,1980
50,15,1980
30,97,1980
60,70,1980
55,50,1980
0,40,1980
NA,85,1980
40,30,1980
97,40,1980
50,30,1980
0,30,1980
85,60,1980
60,70,1980
40,50,1980
40,60,1980
50,30,1980
70,85,1980
60,60,1980
30,97,1980
70,50,1980
60,15,1980
70,97,1980
40,60,1980
60,60,1980
40,50,1980
30,40,1980
70,97,1980
30,30,1980
50,15,1980
50,70,1980
97,97,1980
97,70,1980
40,60,1980
85,70,1980
0,0,1980
85,85,1980
50,60,1980
0,50,1980
60,85,1980
50,85,1980
70,85,1980
60,60,1980
50,50,1980
60,85,1980
70,85,1980
70,60,1980
40,50,1980
40,40,1980
60,60,1980
50,97,1980
50,85,1980
85,60,1980
80,54,1980
40,70,1980
60,30,1980
50,70,1980
85,30,1980
70,85,1980
NA,70,1980
60,60,1980
60,60,1980
60,50,1980
70,70,1980
70,NA,1980
15,30,1980
15,60,1980
60,50,1980
97,97,1980
50,60,1980
85,97,1980
97,85,1980
85,70,1980
50,50,1980
70,40,1980
70,30,1980
50,50,1980
60,75,1980
50,15,1980
50,50,1980
40,97,1980
70,85,1980
70,85,1980
60,70,1980
60,40,1980
50,60,1980
NA,NA,1980
NA,97,1980
70,NA,1980
15,75,1980
50,30,1980
40,85,1980
97,40,1980
40,60,1980
40,30,1980
50,70,1980
85,85,1980
NA,40,1980
50,70,1980
85,97,1980
85,97,1980
60,97,1980
50,50,1980
70,85,1980
50,30,1980
85,97,1980
60,70,1980
30,70,1980
40,85,1980
50,70,1980
70,97,1980
50,40,1980
60,50,1980
40,40,1980
NA,97,1980
50,50,1980
60,45,1980
45,70,1980
85,50,1980
60,60,1980
NA,97,1980
40,60,1980
85,60,1980
50,50,1980
70,50,1980
97,85,1980
0,97,1980
85,85,1980
40,50,1980
70,85,1980
60,30,1980
50,70,1980
70,97,1980
40,50,1980
70,70,1980
85,70,1980
85,70,1980
85,85,1980
60,75,1980
50,40,1980
60,15,1980
70,85,1980
85,97,1980
50,75,1980
15,0,1980
50,60,1980
60,0,1980
50,30,1980
60,60,1980
85,65,1980
70,0,1980
60,60,1980
50,30,1980
60,60,1980
60,50,1980
40,60,1980
70,97,1980
60,85,1980
15,40,1980
30,50,1980
0,97,1980
60,50,1980
20,75,1980
0,50,1980
75,NA,1980
0,50,1980
40,97,1980
NA,NA,1980
70,60,1980
85,97,1980
30,30,1980
50,70,1980
60,70,1980
40,40,1980
40,40,1980
60,40,1980
60,70,1980
50,70,1980
70,65,1980
15,60,1980
60,60,1980
40,60,1980
40,15,1980
50,0,1980
70,30,1980
40,70,1980
50,30,1980
40,60,1980
NA,85,1980
60,70,1980
30,40,1980
97,NA,1980
70,97,1980
60,70,1980
70,60,1980
40,40,1980
30,40,1980
70,50,1980
40,60,1980
70,85,1980
90,70,1980
30,50,1980
40,30,1980
30,70,1980
50,55,1980
NA,NA,1980
40,50,1980
NA,97,1980
NA,60,1980
40,85,1980
50,97,1980
60,70,1980
70,70,1980
NA,50,1980
70,85,1980
50,97,1980
85,70,1980
50,50,1980
30,40,1980
40,40,1980
40,60,1980
97,85,1980
50,85,1980
0,0,1980
0,40,1980
30,30,1980
40,40,1980
0,40,1980
15,40,1980
40,60,1980
NA,85,1980
97,50,1980
0,85,1980
50,25,1980
70,70,1980
15,30,1980
50,80,1980
30,15,1980
NA,20,1980
15,15,1980
30,50,1980
60,60,1980
50,50,1980
97,70,1980
60,60,1980
15,60,1980
97,0,1980
NA,97,1980
60,70,1980
70,97,1980
40,40,1980
60,60,1980
35,40,1980
40,60,1980
60,70,1980
50,97,1980
50,60,1980
NA,97,1980
85,60,1980
50,50,1980
40,60,1980
50,55,1980
50,85,1980
97,60,1980
15,70,1980
50,50,1980
70,50,1980
50,60,1980
50,50,1980
30,40,1980
85,80,1980
NA,97,1980
40,85,1980
70,60,1980
30,40,1980
50,97,1980
0,15,1980
70,30,1980
40,40,1980
60,55,1980
70,NA,1980
70,40,1980
70,50,1980
70,50,1980
50,90,1980
40,60,1980
80,85,1980
50,70,1980
70,60,1980
NA,70,1980
70,50,1980
0,40,1980
0,0,1980
60,50,1980
40,40,1980
70,50,1980
0,30,1980
NA,75,1980
50,97,1980
40,50,1980
60,40,1980
85,NA,1980
70,60,1980
40,NA,1980
40,30,1980
60,85,1980
70,50,1980
60,50,1980
60,40,1980
97,85,1980
85,50,1980
40,90,1980
50,50,1980
40,70,1980
75,60,1980
30,50,1980
60,50,1980
40,50,1980
60,40,1980
30,30,1980
15,50,1980
40,60,1980
50,15,1980
70,97,1980
70,97,1980
60,60,1980
40,30,1980
70,70,1980
40,70,1980
40,60,1980
60,30,1980
60,85,1980
85,50,1980
97,50,1980
30,15,1980
70,0,1980
60,50,1980
