Tijd;PersistentieType;Datahoeveelheid
1,81;Sharedpreferences;Weinig
1,35;Sharedpreferences;Weinig
1,84;Sharedpreferences;Weinig
1,54;Sharedpreferences;Weinig
1,81;Sharedpreferences;Weinig
1,82;Sharedpreferences;Weinig
1,79;Sharedpreferences;Weinig
1,57;Sharedpreferences;Weinig
1,78;Sharedpreferences;Weinig
1,79;Sharedpreferences;Weinig
1,97;Sharedpreferences;Weinig
1,6;Sharedpreferences;Weinig
1,77;Sharedpreferences;Weinig
2,23;Sharedpreferences;Weinig
1,79;Sharedpreferences;Weinig
1,77;Sharedpreferences;Weinig
1,32;Sharedpreferences;Weinig
1,76;Sharedpreferences;Weinig
2;Sharedpreferences;Weinig
1,3;Sharedpreferences;Weinig
1,77;Sharedpreferences;Weinig
1,35;Sharedpreferences;Weinig
1,56;Sharedpreferences;Weinig
1,79;Sharedpreferences;Weinig
1,31;Sharedpreferences;Weinig
2,23;Sharedpreferences;Weinig
1,83;Sharedpreferences;Weinig
1,09;Sharedpreferences;Weinig
1,57;Sharedpreferences;Weinig
1,1;Sharedpreferences;Weinig
1,61;GreenDAO;Weinig
1,78;GreenDAO;Weinig
2;GreenDAO;Weinig
2,47;GreenDAO;Weinig
2,44;GreenDAO;Weinig
2,06;GreenDAO;Weinig
2,21;GreenDAO;Weinig
1,75;GreenDAO;Weinig
1,58;GreenDAO;Weinig
1,6;GreenDAO;Weinig
1,77;GreenDAO;Weinig
2;GreenDAO;Weinig
1,86;GreenDAO;Weinig
1,77;GreenDAO;Weinig
2,2;GreenDAO;Weinig
1,75;GreenDAO;Weinig
1,58;GreenDAO;Weinig
1,53;GreenDAO;Weinig
2,25;GreenDAO;Weinig
2,06;GreenDAO;Weinig
1,37;GreenDAO;Weinig
2,46;GreenDAO;Weinig
1,8;GreenDAO;Weinig
1,83;GreenDAO;Weinig
2,67;GreenDAO;Weinig
2,02;GreenDAO;Weinig
1,98;GreenDAO;Weinig
1,34;GreenDAO;Weinig
1,76;GreenDAO;Weinig
1,31;GreenDAO;Weinig
1,57;SQLLite;Weinig
1,36;SQLLite;Weinig
1,31;SQLLite;Weinig
2,23;SQLLite;Weinig
2,43;SQLLite;Weinig
1,1;SQLLite;Weinig
1,78;SQLLite;Weinig
2,04;SQLLite;Weinig
1,81;SQLLite;Weinig
1,34;SQLLite;Weinig
2,06;SQLLite;Weinig
2,68;SQLLite;Weinig
1,58;SQLLite;Weinig
1,56;SQLLite;Weinig
2,22;SQLLite;Weinig
1,58;SQLLite;Weinig
2,35;SQLLite;Weinig
1,79;SQLLite;Weinig
1,75;SQLLite;Weinig
1,55;SQLLite;Weinig
1,78;SQLLite;Weinig
2,49;SQLLite;Weinig
1,64;SQLLite;Weinig
1,77;SQLLite;Weinig
1,74;SQLLite;Weinig
2,01;SQLLite;Weinig
2,04;SQLLite;Weinig
2,16;SQLLite;Weinig
1,12;SQLLite;Weinig
1,13;SQLLite;Weinig
1,57;Realm;Weinig
1,77;Realm;Weinig
1,75;Realm;Weinig
1,78;Realm;Weinig
1,36;Realm;Weinig
2,17;Realm;Weinig
1,58;Realm;Weinig
1,59;Realm;Weinig
1,36;Realm;Weinig
1,55;Realm;Weinig
1,33;Realm;Weinig
1,96;Realm;Weinig
1,58;Realm;Weinig
1,59;Realm;Weinig
1,78;Realm;Weinig
1,31;Realm;Weinig
1,59;Realm;Weinig
2,25;Realm;Weinig
1,34;Realm;Weinig
2,27;Realm;Weinig
1,74;Realm;Weinig
1,31;Realm;Weinig
1,81;Realm;Weinig
1,13;Realm;Weinig
1,58;Realm;Weinig
1,14;Realm;Weinig
1,98;Realm;Weinig
1,33;Realm;Weinig
1,12;Realm;Weinig
1,35;Realm;Weinig
6,68;GreenDAO;Medium
